period start,symbol,price,change %,min,max,30d avg
2020-07-03T12:00:09+00:00,META,$174.53,-27.36%,$88.91,$382.18,$166.65
2020-07-03T12:00:09+00:00,LYFT,$9.78,-70.56%,$9.78,$67.42,$13.56
2020-07-03T12:00:09+00:00,GOOG,$92.31,23.43%,$70.76,$150.71,$97.01
2020-07-03T12:00:09+00:00,AMD,$80.44,50.64%,$52.93,$161.91,$79.34
2020-07-03T12:00:09+00:00,UBER,$33.69,3.60%,$20.46,$63.18,$33.02
2020-07-03T12:00:09+00:00,MSFT,$251.11,22.22%,$195.87,$339.08,$253.45
2020-07-03T12:00:09+00:00,AAPL,$145.91,58.79%,$91.06,$180.68,$147.73
2020-07-03T12:00:09+00:00,LYFT,$9.78,-70.56%,$9.78,$67.42,$13.56
2020-07-03T12:00:09+00:00,LYFT,$9.78,-70.56%,$9.78,$67.42,$13.56
2020-07-03T12:00:09+00:00,LYFT,$9.78,-70.56%,$9.78,$67.42,$13.56
2020-07-03T12:00:09+00:00,MSFT,$251.11,22.22%,$195.87,$339.08,$253.45
2020-07-03T12:00:09+00:00,UBER,$33.69,3.60%,$20.46,$63.18,$33.02
2020-07-03T12:00:09+00:00,AAPL,$145.91,58.79%,$91.06,$180.68,$147.73
2020-07-03T12:00:09+00:00,META,$174.53,-27.36%,$88.91,$382.18,$166.65
2020-07-03T12:00:09+00:00,GOOG,$92.31,23.43%,$70.76,$150.71,$97.01
2020-07-03T12:00:09+00:00,AMD,$80.44,50.64%,$52.93,$161.91,$79.34
2020-07-03T12:00:09+00:00,UBER,$33.69,3.60%,$20.46,$63.18,$33.02
2020-07-03T12:00:09+00:00,AMD,$80.44,50.64%,$52.93,$161.91,$79.34
2020-07-03T12:00:09+00:00,GOOG,$92.31,23.43%,$70.76,$150.71,$97.01
2020-07-03T12:00:09+00:00,META,$174.53,-27.36%,$88.91,$382.18,$166.65
2020-07-03T12:00:09+00:00,MSFT,$251.11,22.22%,$195.87,$339.08,$253.45
2020-07-03T12:00:09+00:00,LYFT,$9.78,-70.56%,$9.78,$67.42,$13.56
2020-07-03T12:00:09+00:00,AAPL,$145.91,58.79%,$91.06,$180.68,$147.73
2020-07-03T12:00:09+00:00,LYFT,$9.78,-70.56%,$9.78,$67.42,$13.56
2020-07-03T12:00:09+00:00,LYFT,$9.78,-70.56%,$9.78,$67.42,$13.56
2020-07-03T12:00:09+00:00,GOOG,$92.31,23.43%,$70.76,$150.71,$97.01
2020-07-03T12:00:09+00:00,UBER,$33.69,3.60%,$20.46,$63.18,$33.02
2020-07-03T12:00:09+00:00,LYFT,$9.78,-70.56%,$9.78,$67.42,$13.56
2020-07-03T12:00:09+00:00,MSFT,$251.11,22.22%,$195.87,$339.08,$253.45
2020-07-03T12:00:09+00:00,AAPL,$145.91,58.79%,$91.06,$180.68,$147.73
2020-07-03T12:00:09+00:00,META,$174.53,-27.36%,$88.91,$382.18,$166.65
2020-07-03T12:00:09+00:00,AMD,$80.44,50.64%,$52.93,$161.91,$79.34
2020-07-03T12:00:09+00:00,UBER,$33.69,3.60%,$20.46,$63.18,$33.02
2020-07-03T12:00:09+00:00,LYFT,$9.78,-70.56%,$9.78,$67.42,$13.56
2020-07-03T12:00:09+00:00,MSFT,$251.11,22.22%,$195.87,$339.08,$253.45
2020-07-03T12:00:09+00:00,LYFT,$9.78,-70.56%,$9.78,$67.42,$13.56
2020-07-03T12:00:09+00:00,AMD,$80.44,50.64%,$52.93,$161.91,$79.34
2020-07-03T12:00:09+00:00,GOOG,$92.31,23.43%,$70.76,$150.71,$97.01
2020-07-03T12:00:09+00:00,META,$174.53,-27.36%,$88.91,$